letter,frequency
e, 11.8
a, 8.42
t, 8.34
i, 7.31
o, 7.16
n, 7.12
s, 6.44
r, 6.43
h, 4.61
l, 4.11
d, 3.79
c, 3.32
u, 2.61
m, 2.57
f, 2.23
p, 2.06
g, 1.89
w, 1.62
y, 1.51
b, 1.44
v, 1.03
k, 0.583
1, 0.487
0, 0.424
2, 0.297
9, 0.269
x, 0.196
8, 0.194
j, 0.182
5, 0.179
4, 0.171
3, 0.169
6, 0.162
7, 0.145
z, 0.128
q, 0.107
$, 0.0289
&nbsp;, 0.0251
–, 0.0241
², 0.0114
é, 0.0109
—, 0.00986
’, 0.00823
á, 0.00439
“, 0.0037
”, 0.00368
ö, 0.00309
ü, 0.00267
í, 0.00263
ó, 0.00259
ā, 0.00197
°, 0.00197
ō, 0.00196
ä, 0.0018
è, 0.00149
£, 0.00143
ø, 0.00116
−, 0.00109
ç, 0.000992
ñ, 0.000903
‘, 0.000887
α, 0.000851
š, 0.000785
æ, 0.000765
ú, 0.000752
ł, 0.000706
ū, 0.000686
å, 0.000679
ć, 0.000598
×, 0.000594
â, 0.000588
ë, 0.00058
à, 0.000521
ã, 0.000504
ī, 0.000494
č, 0.000471
ο, 0.000467
ô, 0.000459
…, 0.000423
λ, 0.000405
•, 0.000401
μ, 0.000391
ν, 0.000388
ð, 0.000388
า, 0.000385
σ, 0.000384
ρ, 0.000381
π, 0.000365
ε, 0.000353
а, 0.000348
ς, 0.000345
ι, 0.000342
β, 0.00033
τ, 0.000329
ă, 0.000318
ş, 0.000306
о, 0.000303
ê, 0.000302
→, 0.000297
κ, 0.000297